CountryName,Region,PublishYear,ai_mentions_in_legislative_proceedings,ai_talent_concentration,compute_capacity_rmax_gflops,internet_speed_median_download_mbps,num_ai_related_bills_passed_3y_moving_average,number_of_newly_funded_companies,number_of_notable_ml_models,number_of_supercomputers,number_of_total_citations,number_of_total_patent_grants,number_of_total_publications,pc_ai_job_postings_perc_of_all_job_postings,pc_ai_mentions_in_legislative_proceedings,pc_ai_social_media_conversations_net_sentiment,pc_ai_talent_concentration,pc_compute_capacity_rmax_gflops,pc_internet_speed_median_download_mbps,pc_num_ai_related_bills_passed_3y_moving_average,pc_number_of_notable_ml_models,pc_number_of_total_citations,pc_number_of_total_patent_grants,pc_number_of_total_publications,pc_private_investment,pc_total_number_of_ra_submissions,private_investment,relative_ai_skills_penetration,norm_ai_mentions_in_legislative_proceedings_calc,norm_ai_talent_concentration_calc,norm_compute_capacity_rmax_gflops_calc,norm_internet_speed_median_download_mbps_calc,norm_num_ai_related_bills_passed_3y_moving_average_calc,norm_number_of_newly_funded_companies_calc,norm_number_of_notable_ml_models_calc,norm_number_of_supercomputers_calc,norm_number_of_total_citations_calc,norm_number_of_total_patent_grants_calc,norm_number_of_total_publications_calc,norm_pc_ai_job_postings_perc_of_all_job_postings_calc,norm_pc_ai_mentions_in_legislative_proceedings_calc,norm_pc_ai_social_media_conversations_net_sentiment_calc,norm_pc_ai_talent_concentration_calc,norm_pc_compute_capacity_rmax_gflops_calc,norm_pc_internet_speed_median_download_mbps_calc,norm_pc_num_ai_related_bills_passed_3y_moving_average_calc,norm_pc_number_of_notable_ml_models_calc,norm_pc_number_of_total_citations_calc,norm_pc_number_of_total_patent_grants_calc,norm_pc_number_of_total_publications_calc,norm_pc_private_investment_calc,norm_pc_total_number_of_ra_submissions_calc,norm_private_investment_calc,norm_relative_ai_skills_penetration_calc
Australia,East Asia & Pacific,2017,32.0,0.00396,4103829.0,,0.0,12.0,1,4.0,113852,56.0,2064,2.11e-10,1.3e-06,,1.61e-10,0.1668725959,,0.0,4.07e-08,0.004629524961,2.28e-06,8.39e-05,2.415044321,,59392190.0,0.92738,35.55555556,34.28258488,1.191546706,,0.0,2.352941176,2.777777778,1.492537313,11.71942849,1.085454904,10.64443732,59.67626154,36.94997572,,1.28919692,6.419714029,,0.0,22.82091254,33.0973317,9.897795882,39.34330348,4.262392393,,0.4222557,8.844992115
Australia,East Asia & Pacific,2018,51.0,0.00445,6669188.0,,0.0,14.0,1,5.0,119213,79.0,2392,2.84e-10,2.04e-06,,1.78e-10,0.2671601599,,0.0,4.01e-08,0.004775538513,3.16e-06,9.58e-05,5.998260844,,149736133.0,0.96998,46.78899083,32.57790368,1.082151564,,0.0,2.713178295,2.702702703,1.769911504,12.79684624,1.012723968,9.586886332,66.21343744,33.88185148,,1.29909343,6.486309693,,0.0,19.62092448,35.14649292,9.698744421,35.57131425,7.132106456,,0.691549087,30.34717692
Australia,East Asia & Pacific,2019,45.0,0.00509,7732830.0,,0.0,19.0,1,3.0,146857,110.0,2919,3.12e-10,1.78e-06,,2.01e-10,0.3052253053,,0.0,3.95e-08,0.005796645298,4.34e-06,0.0001152168955,9.753189858,1.58e-07,247095368.0,0.97374,54.21686747,31.91140279,0.9948811441,,0.0,3.846153846,1.612903226,0.8810572687,16.52842309,0.9277385309,9.07421724,32.42096594,10.64968259,,1.356342699,6.48712921,,0.0,11.28259838,37.78275188,8.341110233,42.69758006,8.117014791,8.186458794,0.7652499321,39.7862122
Australia,East Asia & Pacific,2020,64.0,0.00564,10913420.0,35.052,0.0,19.0,0,2.0,141159,320.0,3448,3.2e-10,2.5e-06,,2.2e-10,0.4254869383,1.37e-06,0.0,0.0,0.005503436202,1.25e-05,0.0001344288924,6.68474834,9.36e-07,171458768.0,1.18704,43.24324324,30.88023088,1.229370831,30.91421712,0.0,3.140495868,0.0,0.4694835681,16.75959959,1.449012037,9.475024763,2.906108504,30.15839188,,1.33990032,8.897444652,1.363598198,0.0,0.0,41.10863686,14.89923567,44.19445132,3.496280048,25.33433005,0.3841636129,56.38731267
Australia,East Asia & Pacific,2021,87.0,0.00631,13035450.0,45.032,0.0,28.0,0,3.0,126310,952.0,3792,4.56e-10,3.39e-06,1.87e-06,2.46e-10,0.507504026,1.75e-06,0.0,0.0,0.004917577339,3.71e-05,0.0001476324382,40.02775478,1.01e-06,1028129373.0,1.07344,32.34200743,30.06410256,1.123988782,23.09962768,0.0,3.416557162,0.0,1.162790698,17.53239895,2.460288715,8.438451501,5.748847691,22.77664432,2.105227555,1.366902828,2.498731,1.125123084,0.0,0.0,37.55793311,30.26492454,39.91018776,10.16156933,19.71557073,1.171095898,51.00012032
Australia,East Asia & Pacific,2022,25.0,0.00687,42767840.0,50.415,0.0,24.0,1,5.0,74697,252.0,3567,4.27e-10,9.61e-07,1.73e-06,2.64e-10,1.64400646,1.94e-06,0.0,3.84e-08,0.002871371351,9.69e-06,0.0001371163716,54.00249988,1.88e-06,1404842579.0,0.82929,11.68224299,29.67741935,1.889124295,18.24357633,0.0,3.458646617,1.515151515,2.48447205,14.37857347,0.400950641,6.749332915,1.49162908,5.963771393,1.698201865,1.363939207,2.834514047,0.9396018554,0.0,18.36963445,37.19149631,6.796921584,39.62769528,13.62894307,32.17496424,2.271964915,45.43059635
Australia,East Asia & Pacific,2023,102.0,0.00744,44907840.0,61.418,0.0,24.0,1,6.0,36478,102.0,3978,3.41e-10,3.83e-06,1.46e-06,2.79e-10,1.684921612,2.3e-06,0.0,3.75e-08,0.001368637872,3.83e-06,0.0001492527402,15.98290839,1.84e-06,425988893.0,0.88414,49.03846154,30.78231293,1.133207729,19.39163297,0.0,2.536997886,1.234567901,3.125,11.62280058,0.117678586,6.539036997,1.292837098,9.765456652,1.76331475,1.354807662,2.385027312,0.9504197399,0.0,5.550686144,36.29569706,1.996091129,36.46505962,7.438900876,18.1322414,0.5886689376,48.81399997
Australia,East Asia & Pacific,2024,123.0,0.00795,55227310.0,82.942,0.3333333333,23.0,0,4.0,10769,90.0,3191,4.19e-10,4.52e-06,1.58e-06,2.92e-10,2.030056892,3.05e-06,1.23e-08,0.0,0.0003958491309,3.31e-06,0.0001172954385,15.71248826,8.45e-07,427455242.0,0.84981,39.17197452,32.3445522,0.8100471908,23.24013689,7.142857143,2.143522833,0.0,1.744186047,13.9069792,0.1005127278,6.476521302,1.250103868,16.776233,1.879495237,1.34285958,2.895564983,1.04322703,2.491166176,0.0,39.78714258,1.415787325,35.22526841,3.830475502,13.08665496,0.3918827675,35.03353773
Austria,Europe & Central Asia,2017,0.0,0.00367,1168580.0,,0.0,2.0,0,2.0,25333,5.0,640,,0.0,,4.17e-10,0.1328299214,,0.0,0.0,0.002879546456,5.68e-07,7.27e-05,19.576331,,172224064.0,0.89607,0.0,31.10624315,0.2076452599,,0.0,0.3921568627,0.0,0.4975124378,2.479603681,0.07894217486,3.035160842,59.67626154,0.0,,3.367703751,5.093733784,,0.0,0.0,20.34824886,2.388245849,33.79967656,34.55092049,,1.224447065,0.4757958889
Austria,Europe & Central Asia,2018,,0.00413,,,0.0,0.0,0,,19583,6.0,756,,,,4.67e-10,,,0.0,0.0,0.00221514094,6.79e-07,8.55e-05,1.688568581,,14927826.0,1.08658,8.256880734,29.55618508,1.582784761,,0.0,0.0,0.0,1.327433628,1.853353017,0.06491820306,2.81480255,54.83667272,5.984611583,,3.436249495,9.242973308,,0.0,0.0,15.99296667,2.038702454,31.52441809,1.982598873,,0.05104487826,58.51755212
